game,player,team,caution,min,added_time,double-caution,md
ENTEBBE-vs-NEC,Issa Bugembe,ENTEBBE,yellow,44,no,No,4
POLICE-vs-MAROONS,Lawrence Tezikya,POLICE,yellow,30,no,No,5
POLICE-vs-MAROONS,Norman Borniface Odipio,MAROONS,yellow,36,no,No,5
POLICE-vs-MAROONS,Norman Borniface Odipio,MAROONS,second yellow,58,no,yes,5
POLICE-vs-MAROONS,Daniel Jakony,POLICE,yellow,70,no,No,5
POLICE-vs-MAROONS,Bedia Djuma Ikamba,POLICE,yellow,82,no,No,5
POLICE-vs-MAROONS,Tonny Kiwalazi,POLICE,yellow,90(+2),yes,No,5
POLICE-vs-MAROONS,Mujahid Ogama,MAROONS,yellow,90(+2),yes,No,5
URA-vs-UPDF,Rashid Faridi,UPDF,yellow,19,no,No,5
URA-vs-UPDF,FRANK GLADISON MUGISA,UPDF,yellow,70,no,No,5
URA-vs-UPDF,Aggrey Kiirya,UPDF,yellow,81,no,No,5
URA-vs-UPDF,Ibrahim Wamannah,URA,yellow,84,no,No,5
URA-vs-UPDF,Hudu Mulikyi,URA,yellow,90(+2),yes,No,5
KITARA-vs-LUGAZI,Sharif Saaka,LUGAZI,yellow,45(+2),yes,No,5
KITARA-vs-LUGAZI,Amos Etojo,LUGAZI,yellow,59,no,No,5
KITARA-vs-LUGAZI,David Bagoole,LUGAZI,yellow,63,no,No,5
BUL-vs-EXPRESS,RWOTNGEYO DOUGLAS HANNCIENT,EXPRESS,yellow,45(+2),yes,No,5
BUL-vs-EXPRESS,ISA GLORY KISUULE,EXPRESS,yellow,52,no,No,5
BUL-vs-EXPRESS,Pascal Ngobi,BUL,yellow,68,no,No,5
BUHIMBA-vs-VILLA,Erick Muber,BUHIMBA,yellow,4,no,No,5
BUHIMBA-vs-VILLA,Derick Byabacwezi,BUHIMBA,yellow,32,no,No,5
BUHIMBA-vs-VILLA,David Lukwago,Villa,yellow,87,no,No,5
KCCA-vs-CALVARY,John Rogers,CALVARY,yellow,56,no,No,5
KCCA-vs-CALVARY,Marvin Praise Wambuga,CALVARY,yellow,90,no,No,5
ENTEBBE-vs-VIPERS,Isa Mubiru,ENTEBBE,yellow,35,no,No,5
ENTEBBE-vs-VIPERS,Junior Yunus Sentamu,VIPERS,yellow,74,no,No,5
MBARARA-vs-NEC,Henry Kitegenyi,MBARARA,yellow,32,no,No,5
MBARARA-vs-NEC,Allan Mugalu,NEC,yellow,60,no,No,5
MBARARA-vs-NEC,Shamiru Kimwero,NEC,yellow,77,no,No,5
MBARARA-vs-NEC,Nasur Almahad Sadik,MBARARA,yellow,81,no,No,5
MBARARA-vs-NEC,Reagan Matege,MBARARA,yellow,88,no,No,5
