league,season,md,source_file,player,name_key,team,club,position,jersey,nationality,player_id,date_of_birth,apps,minutes,starts,sub_in,sub_out,goals,own_goals,assists,penalties,yellows,reds_direct,reds_second_yellow
UPL,2026/27,1,U21_stats_sample.xlsx,Isa Glory Kisuule,GLORY ISA KISUULE,EXPRESS,Express FC,Midfield,29,Uganda,,,1,90,1,0,0,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Yiga Steven,STEVEN YIGA,EXPRESS,Express FC,Midfield,77,Uganda,,,1,55,1,0,1,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Keiden King Lubowa,KEIDEN KING LUBOWA,EXPRESS,Express FC,,,Uganda,,,0,0,0,0,0,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Abdul Rahuman Katumba,ABDUL KATUMBA RAHUMAN,EXPRESS,Express FC,Defender,47,Uganda,,,1,31,0,1,0,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Mugisha Jonah,JONAH MUGISHA,EXPRESS,Express FC,Forward,44,Uganda,,,1,31,0,1,0,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Abudshakur Ramsey Jemba,ABUDSHAKUR JEMBA RAMSEY,POLICE,POLICE FOOTBALL CLUB,Midfield,38,Uganda,,,2,40,0,2,0,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Stephen Namaisi,NAMAISI STEPHEN,POLICE,POLICE FOOTBALL CLUB,Defender,41,Uganda,,,2,173,2,0,1,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Henry Kayemba,HENRY KAYEMBA,POLICE,POLICE FOOTBALL CLUB,Midfield,44,Uganda,,,0,0,0,0,0,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Patrick Kagulire,KAGULIRE PATRICK,POLICE,POLICE FOOTBALL CLUB,Defender,40,Uganda,,,0,0,0,0,0,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Simon Olele,OLELE SIMON,POLICE,POLICE FOOTBALL CLUB,Goalkeeper,36,Uganda,,,0,0,0,0,0,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Jamal Ssemwogerere,JAMAL SSEMWOGERERE,MAROONS,Maroons FC,Midfield,40,Uganda,,,2,180,2,0,0,0,0,0,0,1,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Ashiraf Kavuma,ASHIRAF KAVUMA,MAROONS,Maroons FC,,41,Uganda,,,0,0,0,0,0,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Lameka Tamale,LAMEKA TAMALE,MAROONS,Maroons FC,Goalkeeper,36,Uganda,,,0,0,0,0,0,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Alli Ismael,ALLI ISMAEL,MAROONS,Maroons FC,,38,Uganda,,,2,150,2,0,1,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Isaac Arinda,ARINDA ISAAC,MBARARA,Mbarara City FC,,40,Uganda,,,1,21,0,1,0,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Stuart Hussein Kafuluma,HUSSEIN KAFULUMA STUART,MBARARA,Mbarara City FC,,36,Uganda,,,1,90,1,0,0,0,0,0,0,0,0,0
