league,season,md,source,player_key,player_id,player,team,position,jersey,birth_year,u21_born_from,apps,minutes,starts,sub_in,sub_out,goals,own_goals,assists,penalties,yellows,reds_direct,reds_second_yellow,report_minutes,team_points,team_matches
UPL,2025/26,1,reports,055878M04,055878M04,Henry Kitegenyi,MBARARA,,9,2004.0,2004-01-01,1,90,1,0,0,0,,,,0,0,0,90.0,1.0,1.0
UPL,2025/26,1,reports,010972M05,010972M05,Abudshakur Ramsey Jemba,POLICE,,28,2005.0,2004-01-01,1,60,1,0,1,1,,,,0,0,0,60.0,1.0,1.0
UPL,2025/26,1,reports,065938M04,065938M04,Bedia Djuma Ikamba,POLICE,,15,2004.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,1.0,1.0
UPL,2025/26,1,reports,055884M06,055884M06,Dennis Kalanzi,POLICE,,10,2006.0,2004-01-01,1,90,1,0,0,0,,,,0,0,0,90.0,1.0,1.0
UPL,2025/26,1,reports,032556M05,032556M05,Rayn Figo Kizito,POLICE,,26,2005.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,1.0,1.0
UPL,2025/26,1,reports,022529M05,022529M05,Stephen Namaisi,POLICE,,30,2005.0,2004-01-01,1,90,1,0,0,0,,,,0,0,0,90.0,1.0,1.0
UPL,2025/26,1,reports,036011M06,036011M06,Enrique Lubwama,UPDF,,26,2006.0,2004-01-01,1,3,0,1,0,0,,,,0,0,0,3.0,0.0,1.0
UPL,2025/26,1,reports,026590M04,026590M04,Shamulan Kamya,UPDF,,27,2004.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,0.0,1.0
UPL,2025/26,1,reports,032842M06,032842M06,Denis Luzige Kisiriko,URA,,28,2006.0,2004-01-01,1,14,0,1,0,0,,,,0,0,0,14.0,1.0,1.0
UPL,2025/26,1,reports,045544M05,045544M05,George Masembe,URA,,14,2005.0,2004-01-01,1,90,1,0,0,0,,,,1,0,0,90.0,1.0,1.0
UPL,2025/26,1,reports,043871M06,043871M06,Godfrey Sekibengo,URA,,30,2006.0,2004-01-01,1,2,0,1,0,0,,,,0,0,0,2.0,1.0,1.0
UPL,2025/26,1,reports,043298M06,043298M06,John Innocent Kisolo,URA,,26,2006.0,2004-01-01,1,2,0,1,0,0,,,,0,0,0,2.0,1.0,1.0
UPL,2025/26,2,reports,025115M04,025115M04,John Bosco Sempijja,BUHIMBA,,30,2004.0,2004-01-01,1,12,0,1,0,0,,,,0,0,0,12.0,3.0,1.0
UPL,2025/26,2,reports,056450M05,056450M05,Lucas Mola,BUHIMBA,,29,2005.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,3.0,1.0
UPL,2025/26,2,reports,033075M05,033075M05,Moses Ayebale,BUHIMBA,,28,2005.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,3.0,1.0
UPL,2025/26,2,reports,048868M06,048868M06,Denis Ssewagudde,BUL,,25,2006.0,2004-01-01,1,78,1,0,1,0,,,,0,0,0,78.0,3.0,1.0
UPL,2025/26,2,reports,038683M06,038683M06,Lwenda Sowedi,BUL,,28,2006.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,3.0,1.0
UPL,2025/26,2,reports,045395M05,045395M05,Simon Achidi,BUL,,30,2005.0,2004-01-01,1,12,0,1,0,0,,,,0,0,0,12.0,3.0,1.0
UPL,2025/26,2,reports,001111M04,001111M04,Allan Kiggundu,CALVARY,,28,2004.0,2004-01-01,1,44,0,1,0,0,,,,0,0,0,44.0,0.0,1.0
UPL,2025/26,2,reports,064234M05,064234M05,Andrew Kiwanuka,CALVARY,,29,2005.0,2004-01-01,1,44,0,1,0,0,,,,0,0,0,44.0,0.0,1.0
UPL,2025/26,2,reports,033958M06,033958M06,Junior Emmanuel Ojok,CALVARY,,30,2006.0,2004-01-01,1,70,1,0,1,0,,,,0,0,0,70.0,0.0,1.0
UPL,2025/26,2,reports,058076M06,058076M06,Mubaraka Mitala,CALVARY,,25,2006.0,2004-01-01,1,20,0,1,0,0,,,,0,0,0,20.0,0.0,1.0
UPL,2025/26,2,reports,065960M08,065960M08,Alli Ismael,EXPRESS,,4,2008.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,0.0,1.0
UPL,2025/26,2,reports,033032M07,033032M07,Hakim Wandera,EXPRESS,,3,2007.0,2004-01-01,1,46,1,0,1,0,,,,0,0,0,46.0,0.0,1.0
UPL,2025/26,2,reports,058018M05,058018M05,Isa Glory Kisuule,EXPRESS,,29,2005.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,0.0,1.0
UPL,2025/26,2,reports,042882M08,042882M08,John Asiimwe,EXPRESS,,25,2008.0,2004-01-01,1,46,1,0,1,0,,,,0,0,0,46.0,0.0,1.0
UPL,2025/26,2,reports,035993M06,035993M06,Khasim Mustapha,EXPRESS,,26,2006.0,2004-01-01,1,90,1,0,0,0,,,,0,0,0,90.0,0.0,1.0
UPL,2025/26,2,reports,010898M04,010898M04,Khassim Hafizi,EXPRESS,,27,2004.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,0.0,1.0
