game,in,out,minute,added_time,period,team,md
UPDF-vs-NEC,Daniel Shabene,Emmanuel Kulanga,35,no,1,NEC,11
UPDF-vs-NEC,Emmanuel Ajo,Paul Mucureezi,46,no,2,NEC,11
UPDF-vs-NEC,Hudson Mbalire,Allan Mugalu,46,no,2,NEC,11
UPDF-vs-NEC,Samson Andrew Kigozi,Samuel Kayongo Ssekamatte,65,no,2,UPDF,11
UPDF-vs-NEC,Denis Sekitoleko,Edward Satulo,65,no,2,UPDF,11
UPDF-vs-NEC,Swaibu Kasujja Kalule,Steven Kawuka,65,no,2,UPDF,11
UPDF-vs-NEC,Muzamiru Mutyaba,Ronald Media Innocent,68,no,2,NEC,11
UPDF-vs-NEC,Asaph Ssegujja,Joseph Janjali,83,no,2,UPDF,11
UPDF-vs-NEC,Frank Gladison Mugisa,Enrique Lubwama,83,no,2,UPDF,11
KCCA-vs-BUHIMBA,Umar Lutalo,Fillbert Obenchan,64,no,2,KCCA,11
KCCA-vs-BUHIMBA,Alex Yiga,Sammy Raynald Ssebaduka,64,no,2,KCCA,11
KCCA-vs-BUHIMBA,David Kasija,Arafat Galiwango,74,no,2,BUHIMBA,11
KCCA-vs-BUHIMBA,Shafic Kiryowa,Anwaru Mustafa Ntege,74,no,2,BUHIMBA,11
KCCA-vs-BUHIMBA,STEVEN JAMES OYIRWOTH,Saidi Mayanja,86,no,2,KCCA,11
KCCA-vs-BUHIMBA,Sharifu Ssengendo,Rogers Mugisha,86,no,2,KCCA,11
KCCA-vs-BUHIMBA,John Wesley kisaakye,Swadik Moro,87,no,2,BUHIMBA,11
MAROONS-vs-EXPRESS,Apollo Kagogwe,Derick Basoga,52,no,2,MAROONS,11
MAROONS-vs-EXPRESS,Elvis Ssekajjugo,Yosia Kisa,52,no,2,EXPRESS,11
MAROONS-vs-EXPRESS,ALLI ISMAEL,Habert Asiimwe,52,no,2,EXPRESS,11
MAROONS-vs-EXPRESS,Henry Wamala,Richard Basangwa,52,no,2,EXPRESS,11
MAROONS-vs-EXPRESS,ISA GLORY KISUULE,Ramz Kawooya,52,no,2,EXPRESS,11
MAROONS-vs-EXPRESS,Ivan Asaba,Ivan Mayanja,66,no,2,MAROONS,11
MAROONS-vs-EXPRESS,Godwin Daniel Kitagenda,Emmanuel Obua,76,no,2,MAROONS,11
MAROONS-vs-EXPRESS,Innocent Kitamwe Kitimbo,Rogers Kiwanuka,76,no,2,MAROONS,11
MAROONS-vs-EXPRESS,Dickson Niwamanya,Raymond Walugembe,76,no,2,MAROONS,11
MAROONS-vs-EXPRESS,Jimmy Lagoro,Oloya Moses,84,no,2,EXPRESS,11
MBARARA-vs-URA,Thomas Kakaire,Ronald Edwok,43,no,1,MBARARA,11
MBARARA-vs-URA,NYARWA BITANYWAINE OLIMI,Joseph Ssemujju,45,no,1,URA,11
MBARARA-vs-URA,Godfrey Sekibengo,Living Kabon,45,no,1,URA,11
MBARARA-vs-URA,Laban Tibiita,Norman Namanya,65,no,2,URA,11
MBARARA-vs-URA,Denis Luzige Kisiriko,Amisi Bwangani,65,no,2,URA,11
MBARARA-vs-URA,Wycliffe Ahumuza,Thomas Kakaire,71,no,2,MBARARA,11
MBARARA-vs-URA,Nelson Senkatuka,Fred Amaku,75,no,2,URA,11
MBARARA-vs-URA,Latif Ssenkubuge,Gabriel Eragu,75,no,2,MBARARA,11
MBARARA-vs-URA,Marvin Busuulwa,Ian Amanya,81,no,2,MBARARA,11
LUGAZI-vs-VIPERS,Ayiko Richard,Joseph Othieno,45,no,1,LUGAZI,11
LUGAZI-vs-VIPERS,Edrine Junior Owachgiu,Paul Busolo,55,no,2,LUGAZI,11
LUGAZI-vs-VIPERS,Birungi Alvin Twiine,Rogers Atube,56,no,2,LUGAZI,11
LUGAZI-vs-VIPERS,Moses Waiswa Ndhondhi,Frank Katongole,59,no,2,VIPERS,11
LUGAZI-vs-VIPERS,Junior Yunus Sentamu,Chukwuma Odili,71,no,2,VIPERS,11
LUGAZI-vs-VIPERS,ROBIN KANE HNEY,Milton Karisa,71,no,2,VIPERS,11
LUGAZI-vs-VIPERS,TADEO LWANGA,Paul Patrick Mbowa,85,no,2,VIPERS,11
LUGAZI-vs-VIPERS,Kenneth Kimera,Kiza Arafat Usama,85,no,2,VIPERS,11
VILLA-vs-CALVARY,Jeans Braddy Wokorach,David Lukwago,46,no,2,Villa,11
VILLA-vs-CALVARY,Ali Arshavin Bayo,Hassan Mubiru,67,no,2,Villa,11
VILLA-vs-CALVARY,Zachous Ocen,Eric Otingcwinyu,72,no,2,CALVARY,11
VILLA-vs-CALVARY,Ronald Olado,Saidi Sukuru,87,no,2,CALVARY,11
VILLA-vs-CALVARY,Steven Nyalimo,Lawrence Olaboro,87,no,2,CALVARY,11
VILLA-vs-CALVARY,Geofrey Gagganga,Aslam Ssemakula,90,no,2,Villa,11
ENTEBBE-vs-KITARA,John Bosco Byaruhanga,Isaac Doka Mweru,46,no,2,KITARA,11
ENTEBBE-vs-KITARA,Eddy Ssebandeke,Patrick Henry Kaddu,67,no,2,KITARA,11
ENTEBBE-vs-KITARA,Muyomba Henry Musisi,Edward Namaasa,67,no,2,KITARA,11
ENTEBBE-vs-KITARA,Junior Samuel Kawawa,John Kokas Alou,76,no,2,ENTEBBE,11
ENTEBBE-vs-KITARA,Emmanuel Alex Wasswa,Hussein Ssenoga,76,no,2,KITARA,11
ENTEBBE-vs-KITARA,Fazil Tumwine,Muhammad Kyeyune,87,no,2,ENTEBBE,11
ENTEBBE-vs-KITARA,George Kiryowa,Mustafa Kizza,87,no,2,ENTEBBE,11
ENTEBBE-vs-KITARA,Noordin Saddic Bunjo,Steven Munguchi,87,no,2,ENTEBBE,11
