league,season,game,player,team,caution,minute,added_time,period,base_minute,stoppage,double-caution,md
UPL,2025/26,EXPRESS-vs-KCCA,Mutwalibi Mugolofa,KCCA,yellow,81,no,2,81,0,No,4
UPL,2025/26,EXPRESS-vs-KCCA,Humphrey Oyirwoth,KCCA,yellow,81,no,2,81,0,No,4
UPL,2025/26,KITARA-vs-MBARARA,Emuran Fahad,MBARARA,red,59,no,2,59,0,No,4
UPL,2025/26,KITARA-vs-MBARARA,Murushid Juuko,KITARA,yellow,78,no,2,78,0,No,4
UPL,2025/26,KITARA-vs-MBARARA,Sulaiman Ssesaazi,MBARARA,yellow,89,no,2,89,0,No,4
UPL,2025/26,VILLA-vs-POLICE,Daniel Jakony,POLICE,yellow,44,no,1,44,0,No,4
UPL,2025/26,ENTEBBE-vs-NEC,Emmanuel Kulanga,NEC,yellow,12,no,1,12,0,No,4
UPL,2025/26,ENTEBBE-vs-NEC,Issa Bugembe,ENTEBBE,yellow,44,no,1,44,0,No,4
UPL,2025/26,POLICE-vs-MAROONS,Lawrence Tezikya,POLICE,yellow,30,no,1,30,0,No,5
UPL,2025/26,POLICE-vs-MAROONS,Norman Borniface Odipio,MAROONS,yellow,36,no,1,36,0,No,5
UPL,2025/26,POLICE-vs-MAROONS,Norman Borniface Odipio,MAROONS,second yellow,58,no,2,58,0,yes,5
UPL,2025/26,POLICE-vs-MAROONS,Daniel Jakony,POLICE,yellow,70,no,2,70,0,No,5
UPL,2025/26,POLICE-vs-MAROONS,Bedia Djuma Ikamba,POLICE,yellow,82,no,2,82,0,No,5
UPL,2025/26,POLICE-vs-MAROONS,Tonny Kiwalazi,POLICE,yellow,92,yes,2,90,2,No,5
UPL,2025/26,POLICE-vs-MAROONS,Mujahid Ogama,MAROONS,yellow,92,yes,2,90,2,No,5
UPL,2025/26,URA-vs-UPDF,Rashid Faridi,UPDF,yellow,19,no,1,19,0,No,5
UPL,2025/26,URA-vs-UPDF,FRANK GLADISON MUGISA,UPDF,yellow,70,no,2,70,0,No,5
UPL,2025/26,URA-vs-UPDF,Aggrey Kiirya,UPDF,yellow,81,no,2,81,0,No,5
UPL,2025/26,URA-vs-UPDF,Ibrahim Wamannah,URA,yellow,84,no,2,84,0,No,5
UPL,2025/26,URA-vs-UPDF,Hudu Mulikyi,URA,yellow,92,yes,2,90,2,No,5
UPL,2025/26,KITARA-vs-LUGAZI,Sharif Saaka,LUGAZI,yellow,47,yes,1,45,2,No,5
UPL,2025/26,KITARA-vs-LUGAZI,Amos Etojo,LUGAZI,yellow,59,no,2,59,0,No,5
UPL,2025/26,KITARA-vs-LUGAZI,David Bagoole,LUGAZI,yellow,63,no,2,63,0,No,5
UPL,2025/26,BUL-vs-EXPRESS,RWOTNGEYO DOUGLAS HANNCIENT,EXPRESS,yellow,47,yes,1,45,2,No,5
UPL,2025/26,BUL-vs-EXPRESS,ISA GLORY KISUULE,EXPRESS,yellow,52,no,2,52,0,No,5
UPL,2025/26,BUL-vs-EXPRESS,Pascal Ngobi,BUL,yellow,68,no,2,68,0,No,5
UPL,2025/26,BUHIMBA-vs-VILLA,Erick Muber,BUHIMBA,yellow,4,no,1,4,0,No,5
UPL,2025/26,BUHIMBA-vs-VILLA,Derick Byabacwezi,BUHIMBA,yellow,32,no,1,32,0,No,5
UPL,2025/26,BUHIMBA-vs-VILLA,David Lukwago,Villa,yellow,87,no,2,87,0,No,5
UPL,2025/26,KCCA-vs-CALVARY,John Rogers,CALVARY,yellow,56,no,2,56,0,No,5
UPL,2025/26,KCCA-vs-CALVARY,Marvin Praise Wambuga,CALVARY,yellow,90,no,2,90,0,No,5
UPL,2025/26,ENTEBBE-vs-VIPERS,Isa Mubiru,ENTEBBE,yellow,35,no,1,35,0,No,5
UPL,2025/26,ENTEBBE-vs-VIPERS,Junior Yunus Sentamu,VIPERS,yellow,74,no,2,74,0,No,5
UPL,2025/26,MBARARA-vs-NEC,Henry Kitegenyi,MBARARA,yellow,32,no,1,32,0,No,5
UPL,2025/26,MBARARA-vs-NEC,Allan Mugalu,NEC,yellow,60,no,2,60,0,No,5
UPL,2025/26,MBARARA-vs-NEC,Shamiru Kimwero,NEC,yellow,77,no,2,77,0,No,5
UPL,2025/26,MBARARA-vs-NEC,Nasur Almahad Sadik,MBARARA,yellow,81,no,2,81,0,No,5
UPL,2025/26,MBARARA-vs-NEC,Reagan Matege,MBARARA,yellow,88,no,2,88,0,No,5
